Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 11,mesleki teknik eğitim hizmet şube görev şunlar mesleki teknik eğitim genel müdürlük görev alan ilişkin hizmet eğitim öğretim hizmet ilişkin ortak görev yürütmek bakanlık belirlenen politika doğrultu mesleki teknik eğitim geliştir yaygınlaştır çalışma yapmak mesleki teknik eğitim yerel ihtiyaç uyum sağlamak sektör birlik geliştirmek çalışma yapmak lgili mevzuat hüküm kapsam çırak kalfa usta eğitim öğrenci okul işletme yapacak mesleki eğitim ilişkin işlem koordine etmek mesleki teknik eğitim kalite güven sistem ilişkin işlem yürütmek lgili mevzuat hüküm kapsam oluşturulan istihdam mesleki eğitim kurulu ilgili işlem yürütmek din öğretim hizmet şube,MADDE 1,0.079,Yeni Madde
MADDE 12,din öğretim hizmet şube görev şunlar din öğretim genel müdürlük görev alan ilişkin hizmet eğitim öğretim hizmet ilişkin ortak görev yürütmek bakanlık belirlenen politika doğrultu eğitim kurum din ahl eğitim öğretim geliştir yaygınlaştır çalışma yürütmek din ahl değer alan seç ders takip etmek uygulanma gözet mek mam hatip ortaokul Anadolu imam hatip lise hafızlık eğitim nelik yapılan çalışma yürütülme sağlamak mam hatip ortaokul Anadolu imam hatip lise program çeşitlilik kapsam uygulama izlemek özel eğitim rehberlik hizmet şube,MADDE 21,0.137,Yeni Madde
MADDE 13,özel eğitim rehberlik hizmet şube görev şunlar özel eğitim rehberlik hizmet genel müdürlük görev alan ilişkin hiz met eğitim öğretim hizmet ilişkin ortak görev yürütmek bakanlık tarafından oluşturulan özel eğitim rehberlik politika uygulamak resm eğitim kurum yürütülen özel eğitim hizmet yaygınlaştırılma geliştirilme sağlayıcı çalışma yapmak özel eğitim program uygulan süreç izlemek değerlendirmek mobil rehberlik hizmet uygulanma sağlamak bağımlılık şiddet benzeri konu toplum temelli destek sağlamak özel eğitim ihtiyaç olan öğrenci eğitim hizmet ilgili çalışma yapmak kaynaştır bütünleştir yoluyla eğitim uygulama yürütülme sağlamak rehberlik psikolojik danış hizmet yürütülme sağlamak özel yetenekli birey eğitici eğitim planlamak uygulamak özel yetenekli birey eğitim ilişkin araştır geliştir planla çalışma yapmak sayfa resm gazete nisan 2025 sayı 32882 hakkında danışmanlık tedbir karar alınan çocuk eğitim ilgili işlem yürütmek öğrenci kademe arası geçiş rehberlik hizmet sağla yönelik işlem leri yürütmek hayat boy öğren hizmet şube,MADDE 21,0.191,Yeni Madde
MADDE 14,hayat boy öğren hizmet şube görev şunlar hayat boy öğren genel müdürlük görev alan ilişkin hizmet eği tim öğretim hizmet ilişkin ortak görev yürütmek örgün eğitim alamayan birey bilgi beceri geliştirici tedbir almak hayat boy öğrenmen imk fırsat kapsam yöntem geliştirmek genel kurs program mesleki teknik kurs program işlem yürütmek hayat boy öğren kültür geliştirilme tanıtılma yaygınlaştırılma ilgili faaliyet yönelik çalışma yürütmek takip etmek hayat boy öğren faaliyet izle değerlendirme yapmak hayat boy öğren kapsam belge denklik önceki öğrenme tanınma işlem yürütmek hayat boy öğren kapsam sosyal kültürel etkinlik ilgili mevzuat hüküm kapsam ulusal uluslararası kuruluş yapıl faaliyet yönelik lışmaları yürütmek açık öğretim sistem ilgili uygulama yürütmek bakanlık bağlı örgün eğitim hayat boy öğren kurum göç acil Rum yürütülen eğitim faaliyet ilgili şube birlik linde planlanma gulanmasına yönelik çalışma yürütmek özel öğretim kurum şube,MADDE 21,0.067,Yeni Madde
MADDE 15,özel öğretim kurum şube görev şunlar özel öğretim kurum genel müdürlük görev alan ilişkin hizmet rütmek özel öğretim kurum özel barın hizmet vere kurum ilgili mevzuat kümleri kapsam kurum açılış kapanış devir nakil diğer işlem yürüt mek özel öğretim kurum özel barın hizmet vere kurum görev yap personel ata görev ayrıl onay ilişkin işlem yürütmek özel öğretim kurum özel barın hizmet vere kurum ilgili bakanlık politika strateji uygulanma sağlamak azınlık okul yabancı okul milletlerarası okul ilişkin işlem rütmek özel okul arsa tahsis teşvik vergi muafiyet ilgili işlem rütmek özel eğitim ihtiyaç olan birey destek eğitim gider ilgili işlem yürütmek lgili mevzuat hüküm kapsam öngörülen idari para ceza diğer idari yaptırım ilgili işlem yürütmek lgili mevzuat hüküm kapsam özel öğretim kurum sınav ücret burs seviye tamamla belge kurs bitir belge sertifika diploma disiplin destek ödeme benzeri işlem yürütmek nisan 2025 sayı 32882 resm gazete sayfa sosyal etkinlik merkez belediye birlik protokol kapsam açılan kurs 2012 tarihli 28239 sayılı resm gazete yayımlanan mill eğitim bakan lığ özel öğretim kurum yönetmelik inci madde sekizinci fıkra kapsam danışmanlık sınav hizmet sunmak isteyen gerçek tüzel kişi ilgili işlem yürütmek özel öğretim kurum özel barın hizmet vere kurum denetlemek nuçları raporlamak değerlendirmek özel öğretim kurum öğretim materyal kullanım ilgili süreç iz mek değerlendirmek lgili mevzuat hüküm kapsam yürütülen özel eğitim özel öğretim süreç rini izlemek değerlendirmek raporlamak lgili mevzuat hüküm kapsam faaliyet gösteren özel eğitim rehabilitasyon merkez işlem yürütmek yenilik eğitim teknoloji hizmet şube,MADDE 21,0.283,Yeni Madde
MADDE 16,yenilik eğitim teknoloji hizmet şube görev şunlar dır yeğ tek görev alan ilişkin hizmet yürütmek okul kurum altyapı internet erişim biliş donanım yönelik keşif kontrol muayene kabul işlem yapmak eğitim teknoloji ilgili olarak okul kurum envanter kayıt tut mak kayıt güncellemek ihtiyaç belirlemek htiyaç duyulan elektronik eğitim içerik geliştirilme yönetilme yönelik işlem koordine etmek okul bilinçli güvenli internet hizmet ilgili işlem yürütmek eğitim teknoloji kullanım yenilikçi uygulama yönelik ulusal uluslararası proje çalışma takip etmek yeğ tek uhde ulusal uluslararası faaliyet ilgili teknik destek sağ mak tanıtım bilgilendir görünürlük faaliyet yürütmek eğitim teknoloji dijital beceri geliştirilme yönelik faaliyet plan mak düzenlemek llerde kurulan öğren laboratuvar yenilikçi sınıf stüdyo atölye alan koordinasyon etkin kullanılma sağlamak yenilik eğitim teknoloji hizmet şube ihtiyaç göre öğretmen mühendis programcı çözümleyici teknisyen tekniker bilgisayar işletmen veri hazırla kontrol letmeni memur ünvanlarında görev yap personel oluş yeğ tek tarafından rütülen işlem yerine getirmek amaç yeğ tek yönetici yeğ tek biliş koordinatör yeğ tek proje koordinatör görevlendiril mesleki geliş şube,MADDE 1,0.042,Yeni Madde
MADDE 17,mesleki geliş şube görev şunlar mill eğitim akademi başkanlık görev alan ilişkin hizmet yürütmek bakanlık personel mesleki gelişim yönelik yıllık mahall faaliyet plan üst politika belge talep kurumsal ihtiyaç doğrultu hazırlamak uygulamak sonuç değerlendirmek mill eğitim akademi başkanlık tarafından düzenlen merkez mesleki geliş faaliyet ilişkin işlem yürütülme sağlamak eğitim program bulunmayan ihtiyaç duyulan mesleki geliş faaliyet nelik talep mill eğitim akademi başkanlık göndermek sayfa resm gazete nisan 2025 sayı 32882 mahall mesleki geliş faaliyet yönelik gerçek tüzel kişi birlik yap mak mahall olarak düzenlen mesleki geliş faaliyet yönelik eğitim ortam araç gereç basılı dijital içerik hazırlamak öğretmen mesleki çalış dönem işlem yürütmek ilgili birim şube koordine etmek öğretmen yetiştiren yükseköğretim kurum öğrenim göre öğrenci mill eğitim akademi başkanlık öğretmenlik meslek hazırlık eğitim alınan öğretmen aday eğitim kurum uygula ders ilişkin işlem yürütülme sağlamak personel ilgili mevzuat hüküm kapsam ulusal uluslararası düzey bilimsel sosyal kültürel faaliyet katılı talep yönelik işlem yürütmek öğretmen sınıf iç etkinlik öğretim faaliyet izlenme değerlendiril me geliştirilme kapsam okul müdürlük hazırlanarak mebbi yüklenen okul temelli mesleki geliş plan uygula süreç izlemek ölç değerlendir sınav hizmet şube,MADDE 10,0.065,Yeni Madde
MADDE 18,ölç değerlendir sınav hizmet şube görev şu lardır ölç değerlendir sınav hizmet genel müdürlük görev alan iliş kin hizmet yürütmek ölç değerlendir işlem yürütmek sınav uygulanma ilgili organizasyon yapmak sınav güvenlik sağ mak sınav komisyon sekretarya hizmet yürütmek yükseköğretim yurt dış eğitim hizmet şube,MADDE 10,0.068,Yeni Madde
MADDE 19,yükseköğretim yurt dış eğitim hizmet şube görev şu lardır yükseköğretim yurt dış eğitim genel müdürlük görev alan ilişkin hiz met yürütmek yurt dış öğrenim görüp yurt dönen öğrenci eğitim sistem uyum sağ lama yönelik çalışma yapmak 1929 tarihli 1416 sayılı ecnebi memleket gönderil talebe hakkında kanun kapsam yürütülen yurt dış lisansüstü öğrenim görmek üzere gönderil öğrenci seç yerleştir ylsy burs program tanıtım faaliyet ilgili işlem yürütmek personel hizmet şube,MADDE 1,0.05,Yeni Madde
MADDE 20,personel hizmet şube görev şunlar personel genel müdürlük görev alan ilişkin hizmet yürütmek norm kadro işlem yürütmek özlük dosya muhafaza sağlamak özlük emeklilik işlem yürütmek disiplin ödül konu ilgili mevzuat hüküm kapsam uhde verilen görev yapmak güvenlik soruşturma arşiv araştırma işlem yürütmek öğretmen aday başvuru ilişkin işlem yürütmek kariyer basamak yönelik işlem yürütmek nisan 2025 sayı 32882 resm gazete sayfa devlet memurluk atanan adaylık süreç ilişkin işlem rütmek yönetici öğretmen diğer personel ata yer değiştir askerlik alan değişiklik benzeri işlem yapmak pasaport yurt dış işlem yürütmek 2001 tarihli 4688 sayılı kamu görevli sendika toplu sözleş kanun ilgili mevzuat hüküm kapsam uhde verilen görev yürütmek soruştur incele rapor ilişkin işlem yürütmek disiplin kurulu görüşül dosya ilişkin işlem yapmak adli idari makam gelen incele işlem yürütmek destek hizmet şube,MADDE 10,0.144,Yeni Madde
MADDE 21,destek hizmet şube görev şunlar destek hizmet genel müdürlük görev alan ilişkin hizmet yürütmek yayın faaliyet yürütmek ders kitap kaynak yardımcı eğitim doküman ders araç gereç natıma ilişkin işlem yürütmek taşınır taşınmaz ilişkin işlem yürütmek depo işlem yürütmek lojman ilgili işlem yürütmek yemekhane işlem yürütmek öğretmenevleri sosyal tesis ilgili işlem yürütmek döner sermaye işlem yürütmek temizlik güvenlik ısın aydınlat onarım taşı işlem yürütmek satı al işlem yürütmek genel evrak arşiv hizmet yürütmek mülkiyet hazine ait olup bakanlık tahsis edil taşınmaz taşınmaz üzerinde yer alan yer kiralanma yönelik işlem yürütmek öğrenci taşı uygulama kapsam öğrenci eğitim erişim yönelik işlem ilgili mevzuat hüküm kapsam yürütmek yurt dış görevli öğretmen tedavi gider ilişkin işlem yürütmek katı sıvı yakıt ısınan okul kurum yakıt ihtiyaç karşılanma nelik işlem yürütmek mill eğitim müdürlük envanter kayıtlı hizmet araç ait işlem rütmek okul kütüphane geliştirilme zenginleştirilme yönelik işlem yürütmek eğitim müze kuruluş işleyiş müze eser arşivlenme ilişkin işlem yürütmek okul servis araç ilişkin işlem ilgili mevzuat hüküm kapsam yürütmek nşaat emlak hizmet şube,MADDE 1,0.045,Yeni Madde
MADDE 22,nşaat emlak hizmet şube görev şunlar nşaat emlak genel müdürlük görev alan ilişkin hizmet yürütmek yatır plan yer alan eğitim tesis olarak kullanıl taşınmaz mülkiyet imar tahsis sorun çözülme ilişkin işlem yürütmek hazır getirmek yatır teklif sunmak yapım program ilgili işlem yürütmek sayfa resm gazete nisan 2025 sayı 32882 eğitim kurum bina eklentiler derslik ihtiyaç tespit etmek onaylanan yapım program program uygulanma ilişkin lemleri yürütmek halk katkı yapıl eğitim yapı ilişkin işlem yürütmek lgili yıl yatır program yer alan inşaat proje ihale önce hazırlık ilişkin işlem yürütmek hale edilen yatırım izlemek planlanan süre içinde hizmet sunulma sağ mak bina bakım onarım enerji verimlilik çalışma tadilat ilgili lemleri yürütmek takip etmek yapılan ihale ait proje ödenek esas dosya hazırlanma ilişkin işlem yürütmek proje göre idari teknik ihale şartname hazırlanma ilişkin lemleri yürütmek lgili mevzuat hüküm kapsam hak ediş ilişkin işlem yürütmek eğitim kurum toplu konut daresi başkanlık inşaat iş ilgili diğer kamu kurum kuruluş yaptırılma ilişkin işlem yürütmek yapı mimari mühendislik proje yapılma ilişkin işlem rütmek zorunlu llerde hazırlatılan eğitim yapı özel proje incelemek bakan lıktan görüş almak bakanlık hizmet ihtiyaç duyulan taşınmaz kiralanma ilişkin lemleri ilgili mevzuat hüküm kapsam yürütmek kamu kurum kuruluş tahsisli taşınmaz tahsis devrî işlem ilişkin işlem ilgili mevzuat hüküm kapsam yürütmek eğitim kurum kamu özel ortaklık model yapım ilişkin işlem ilgili mevzuat hüküm kapsam yürütmek bakanlık tarafından yapım karar verilen eğitim öğretim tesis belirli süre bedel üzerinde kirala karşılık yaptırılma ilgili işlem ilişkin işlem ilgili mevzuat hüküm kapsam yürütmek eğitim kurum eğitim öğretim hizmet alan dış hizmet alan işlet devrî karşılık eğitim öğretim tesis sözleş gerçek özel hukuk tüzel kişi yenilettirilme yeniden yaptırılma ilişkin işlem ilgili mevzuat kümleri kapsam yürütmek eğitim kurum deprem karşı tahkik yapmak yaptırmak güçlendiril cek eğitim kurum tespit etmek bakanlık bildirmek afet zorunlu llerde yaptırılabil taşınabilir okul yaptırılma ilişkin işlem yürütmek bakanlık gerektiğinde kamulaştır teklif sunmak yatırım ilgili ihtiyaç analiz yapmak veri hazırlamak coğrafi veri bilgin ilçe teşkilat düzey üretim kalite yönelik politika belirleyip uygulanma yön tedbir almak yatırım yatır takip sistem yts veri giriş yapmak veri güncellik sağlamak nşaat emlak hizmet şube mebcbs üzerinde problem çöz reh berlik danışmanlık iş yürütmek üzere mebcbs yönetici görevlendiril nisan 2025 sayı 32882 resm gazete sayfa denklik belge doğrula şube,MADDE 1,0.121,Yeni Madde
MADDE 23,denklik belge doğrula şube görev şunlar denklik merkezî bulunan mill eğitim müdürlük denklik belge doğrula işlem ilgili mevzuat hüküm kapsam yürütmek denklik modül üzerinde yapılan duyuru takip uygulanma sağlamak seviye tespit sınav ilgili mevzuat belirlenen esas göre yapılma sağ lamak Türkiye cumhuriyet vatandaş yabancı uyruklu bakanlık bağlı eğitim kurum tarafından düzenlenen diploma transkript benzeri öğrenim belge teyit işlem yürütmek strateji geliştir hizmet şube,MADDE 1,0.059,Yeni Madde
MADDE 24,strateji geliştir hizmet şube görev şunlar strateji geliştir başkanlık görev alan ilişkin hizmet bütçe tahak kuk hizmet dış hizmet yürütmek üst politika belge bakanlık stratejik plan diğer strateji belge eylem plan çerçeve yürütül çalışma koordine etmek mill eğitim müdürlük okul kurum stratejik plan hazırlanma uygulanma izlenme değerlendirilme sağlamak faaliyet rapor takvim ilişkin ilgili işlem yürütmek faaliyet üst politika belge stratejik plan bütçe performans program uygunluk sağlamak hizmet etkililik vatandaş çalışan memnuniyet ilişkin çalışma yap mak statistiki veri ilgili birim birlik içinde ulusal uluslararası standart uygun eksiksiz toplamak güncelleştirmek analiz etmek vatandaş odaklı yönetim oluşturulma idare geliştirilme yönetim kalite artırılma yönetim bilgi sistem geliştirilme hizmet standart belirlenme karar süreç oluşturulma bürokrasi kırtasiyecilik azaltılma ilişkin araştır geliştir faaliyet yürütmek eğitim ilişkin araştır geliştir performans kalite geliştir faaliyet rütmek kalite güven sistem uygulanma ilişkin işlem yürütülme sağlamak eğitim ilişkin proje hazırlamak uygulamak mill eğitim müdürlük eğitim kurum proje hazırla yürüt kapasi te geliştirici çalışma yapmak okul kurum üniversite kamu kurum kuruluş sivil toplum ruluşlarının araştırmacı yapacak ulusal uluslararası araştır uygulama veri topla faaliyet izin talep ilgili işlem yürütmek kontrol sistem kurulma standart uygulanma geliştirilme konu larında çalışma yapmak mill eğitim müdürlük görev alan ilişkin konu stan dartlar hazırlamak Türkiye büyük millet meclis başkanlık bakanlık gönderilen yazılı sözlü soru önerge işlem koordine etmek cevap hazırlayarak bakanlık gön dermek Avrupa birlik dış lişkiler genel müdürlük görev alan ilgili verilen revleri yerine getirmek sayfa resm gazete nisan 2025 sayı 32882 mill eğitim müdürlük strateji geliştir hizmet şube bağlı olarak birim oluşturul birim çalış usul esas personel görev yetki sorumluluk bakanlık belirlen bütçe tahakkuk hizmet şube,MADDE 1,0.077,Yeni Madde
MADDE 25,bütçe tahakkuk hizmet şube görev şunlar strateji geliştir başkanlık görev alan ilişkin hizmet bütçe tahak kuk hizmet yürütmek bütçe ilgili işlem yürütmek ilçe mill eğitim müdürlük okul kurum talep ettik ödenek ihtiyaç tutar zaman bakımından kontrol etmek ilgili birim temin etmek öde neklerin kullanılma ilişkin izle raporla işlem yürütmek personel ödeme ilişkin çalışma yürütmek lgili mevzuat hüküm kapsam mal hizmet alım yapım iş ilişkin satı al süreç tamamlan muayene kontrol yapıl öde aşama gel türlü alım tahakkuk yapılarak ilgili hak sahip ödenme sağlamak ilçe mill eğitim müdürlük okul kurum kurs sınav benzeri özel gelir kayıt tutmak yapıl ödeme gerçekleştirmek kamu zarar ilgili işlem yürütmek performans program ilgili işlem yürütmek ulusal uluslararası proje finansal mali yönetim izlemek raporlamak okul aile birlik ilgili işlem yürütmek tasarruf tedbir ilgili çalışma koordine etmek mahkeme ilam harç tazminat icra avukatlık vek let ücret kontrol yapmak hak sahip ödenme sağlamak basın halk ilişki hizmet şube,MADDE 1,0.079,Yeni Madde
MADDE 26,basın halk ilişki hizmet şube görev şunlar basın halk lişkiler müşavirlik görev alan ilişkin hizmet yürütmek mill eğitim müdürlük basın halk ilişki ilgili faaliyet planlamak yürütmek 2003 tarihli 4982 sayılı bilgi edin hak kanun göre yapıl bilgi edin başvuru 1984 tarihli 3071 sayılı dilek hak kullanılma dair kanun kapsam yapılan istek görüş öneri ihbar şik yet başvuru etkin süratli doğru bir şekil sonuçlandırmak mill eğitim müdürlük gelen başvuru yasal işlem süre içinde cevaplamak başvuru alınma müteakip gecikmeksizin gerekli incele araştırma yap mak başvuru yerindelik mevzuat uygunluk birlikte bütün unsur bakımından ğerlendirerek cevaplandırmak bilgi edin dilek hak kullanılma kapsam yapılan başvuru etkin süratli doğru bir şekil sonuçlandırmak mill eğitim müdürlük görev hizmet alan giren konu temel nitelik olan karar ilgili mevzuat hüküm kapsam mal hizmet alım yürütülen proje ilişkin belge yıllık faaliyet rapor örnek bulundurmak belge asıl hangi birim bulunduk ihtiva ede dos plan hazırlamak mill eğitim müdürlük bağlı okul kurum konu suç teşkil ede eylem yangın sel benzeri acil konu gelen ihbar hızlı iletiş kurulabilme ilgili yönetici dijital ortam yer alan iletiş bilgi güncel tutmak iletiş araç rının erişilebilirlik dikkat edilme husus gerekli bilgilendirme yapmak nisan 2025 sayı 32882 resm gazete sayfa mill eğitim müdürlük medya iletiş medya takip süreç etkin rimli kullanma sağlamak mill eğitim müdürlük faaliyet takip etmek video fotoğraf çekmek arşivlemek mill eğitim müdürlük sosyal medya hesap basın halk lişkiler şavirliğince belirlen usul esas göre yönetmek mill eğitim müdürlük ilişkin medya yer alan haber takip etmek mill eğitim müdürlük basın açık faaliyet iletiş araç yöntem duyurmak medya planlama yapmak medya yer alan haber önem öncelik bulunan ilişkin olarak hazır nacak bilgi not bakanlık belirlenen forma uygun şekil hazırlayıp mill eğitim müdü rüne sunmak basın halk lişkiler müşavirlik ulaştırmak mill eğitim müdürlük internet sayfa sık sorulan soru sekme netmek güncellik sağlamak hukuk hizmet birim,MADDE 1,0.099,Yeni Madde
MADDE 27,hukuk hizmet birim doğrudan mill eğitim müdür bağlı olup hukuk hizmet genel müdürlük görev alan ilişkin hizmet muhakemat hiz met hukuk danışmanlık ilişkin türlü işlem ilgili mevzuat hüküm göre yürüt hukuk hizmet birim avukat diğer personel oluş birden fazla avukat görev yaptık mill eğitim müdürlük mill eğitim müdür teklif bakanlık onay avukat hukuk hizmet birim sevk idare sorumlu olmak üzere hukuk hizmet yetkili olarak görevlendiril bir avukat görev yaptık mill eğitim müdürlük avukat hukuk hizmet yetkili yetki haiz hukuk hizmet birim çalış usul esas personel görev yetki sorumluluk bakanlık belirlen bilgi işlem birim,MADDE 1,0.092,Yeni Madde
MADDE 28,bilgi işlem birim doğrudan mill eğitim müdür bağlı olup revleri şunlar bilgi şlem genel müdürlük görev alan ilişkin hizmet yürütmek biliş hizmet ilişkin işlem ilgili mevzuat hüküm kapsam rütmek mill eğitim müdürlük bünye sınav merkez sistem oda güvenlik bakım kontrol çalışma yürütmek mebbi uygulama biliş altyapı hizmet konu çalışma rütmek yönetmek bunlar ilişkin teknik çalışma yapmak bilgi işlem birim ihtiyaç göre mebbi yönetici olarak görevlendirilen per sonel mühendis programcı çözümleyici teknisyen tekniker bilgisayar işletmen veri zırla kontrol işletmen büro personel memur ünvanlarında görev yap personel oluş bilgi işlem birim bakanlık biliş otomasyon sistem üzerinde problem çöz rehberlik danışmanlık teknik iş yürütmek üzere bakanlık tarafından mebbi yönetici görevlendiril mebbi yönetici bilgi işlem birim sevk idare rumlu birim yetkili olarak görev yap sayfa resm gazete nisan 2025 sayı 32882 birden fazla mebbi yönetici olduk bilgi işlem birim mill eğitim müdür tarafından mebbi yönetici arası birim sevk idare sorumlu olmak üzere koordinatör olarak seçil bilgi işlem birim uhde hizmet yürütmek üzere ilçe mill eğitim müdür lük ilçe mill eğitim müdür bağlı bilgi işlem büro oluşturul bilgi işlem birim bilgi işlem büro çalış usul esas persone linin görev yetki sorumluluk bakanlık belirlen sivil savun hizmet birim,MADDE 1,0.066,Yeni Madde
MADDE 29,sivil savun hizmet birim doğrudan mill eğitim müdür bağlı olup 1958 tarihli 7126 sayılı sivil savun kanun ilgili mevzuat hüküm kapsam sivil savun hizmet yürüt sivil savun hizmet birim sivil savun uzman diğer personel ol şur birden fazla sivil savun uzman bulunan mill eğitim müdürlük sivil savun uzman sevk idare sorumlu olmak üzere mill eğitim müdür tarafından birim yetkili olarak görevlendiril lçe mill eğitim müdürlük sivil savun hizmet destek hizmet şube tarafından yürütül şyeri sağlık güvenlik birim,MADDE 1,0.043,Yeni Madde
MADDE 30,şyeri sağlık güvenlik birim doğrudan mill eğitim müdür bağlı olup görev şunlar mill eğitim müdürlük okul kurum çalışan sağlık güvenlik hiz met koordinasyon sağlamak 2012 tarihli 6331 sayılı sağlık güvenlik kanun ilgili mevzuat hüküm kapsam sağlık güvenlik hizmet yürütmek okul sağlık okul güvenlik afet acil durum iklim değişiklik çevre atık yönetim ilişkin hizmet yürütülme sağlamak şyeri sağlık güvenlik birim güvenlik uzman diğer personel oluş güvenlik uzman birim sevk idare sorumlu birim yetkili olarak görev yap şyeri sağlık güvenlik birim uhde hizmet yürütmek üzere ilçe mill eğitim müdürlük ilçe mill eğitim müdür bağlı sağlık güvenlik büro oluş turulur şyeri sağlık güvenlik birim sağlık güvenlik büro çalış usul esas personel görev yetki sorumluluk bakanlık belirlen eğitim öğretim hizmet ortak görev,MADDE 21,0.066,Yeni Madde
