Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 11,mesleki teknik eğitim hizmetleri şubesinin görevleri şunlardır mesleki teknik eğitim genel müdürlüğünün görev alanına ilişkin hizmetl eğitim öğretim hizmetlerin ilişkin ortak görevleri yürütmek bakanlıkça belirlenen politikalar doğrultusunda mesleki teknik eğitimi geliştirecek yaygınlaştıracak çalışmalar yapmak mesleki teknik eğitimin yerel ihtiyaçlara uyumunu sağlamak sektör birliğini geliştirmek çalışmalar yapmak lgili mevzuat hükümleri kapsamında çırak kalfa ustaların eğitimi öğrencilerin okullarda işletmelerd yapacakları mesleki eğitim ilişkin işlemleri koordin etmek mesleki teknik eğitim kalit güvenc sistemin ilişkin işlemleri yürütmek lgili mevzuat hükümleri kapsamında oluşturulan istihdam mesleki eğitim kurulu ilgili işlemleri yürütmek din öğretimi hizmetleri şubesi,MADDE 1,0.044,Yeni Madde
MADDE 12,din öğretimi hizmetleri şubesinin görevleri şunlardır din öğretimi genel müdürlüğünün görev alanına ilişkin hizmetl eğitim öğretim hizmetlerin ilişkin ortak görevleri yürütmek bakanlıkça belirlenen politikalar doğrultusunda eğitim kurumlarında din ahl eğitim öğretimini geliştirecek yaygınlaştıracak çalışmalar yürütmek din ahl değer alanındaki seçm dersleri takip etmek uygulanmasını gözet mek mam hatip ortaokullarında anadolu imam hatip liselerind hafızlık eğitimin nelik yapılan çalışmaların yürütülmesini sağlamak mam hatip ortaokullarında anadolu imam hatip liselerind program çeşitliliği kapsamındaki uygulamaları izlemek özel eğitim rehberlik hizmetleri şubesi,MADDE 21,0.039,Yeni Madde
MADDE 13,özel eğitim rehberlik hizmetleri şubesinin görevleri şunlardır özel eğitim rehberlik hizmetleri genel müdürlüğünün görev alanına ilişkin hiz metler eğitim öğretim hizmetlerin ilişkin ortak görevleri yürütmek bakanlık tarafından oluşturulan özel eğitim rehberlik politikalarını uygulamak resm eğitim kurumlarınca yürütülen özel eğitim hizmetlerinin yaygınlaştırılmasını geliştirilmesini sağlayıcı çalışmalar yapmak özel eğitim programlarının uygulanma süreçlerini izlemek değerlendirmek mobil rehberlik hizmetlerinin uygulanmasını sağlamak bağımlılık şiddet benzeri konularda toplum temelli destek sağlamak özel eğitim ihtiyacı olan öğrencilerin eğitim hizmetleri ilgili çalışmalar yapmak kaynaştırma bütünleştirm yoluyla eğitim uygulamalarının yürütülmesini sağlamak rehberlik psikolojik danışma hizmetlerinin yürütülmesini sağlamak özel yetenekli bireylerin eğitici eğitimlerini planlamak uygulamak özel yetenekli birey eğitimin ilişkin araştırma geliştirm planlama çalışmaları yapmak sayfa resm gazet nisan 2025 sayı 32882 hakkında danışmanlık tedbiri kararı alınan çocukların eğitimi ilgili işlemleri yürütmek öğrenciler kademel arası geçişt rehberlik hizmeti sağlamaya yönelik işlem leri yürütmek hayat boyu öğrenm hizmetleri şubesi,MADDE 21,0.128,Yeni Madde
MADDE 14,hayat boyu öğrenm hizmetleri şubesinin görevleri şunlardır hayat boyu öğrenm genel müdürlüğünün görev alanına ilişkin hizmetl eği tim öğretim hizmetlerin ilişkin ortak görevleri yürütmek örgün eğitim alamayan bireylerin bilgi becerilerini geliştirici tedbirl almak hayat boyu öğrenmenin imk fırsat kapsam yöntemlerini geliştirmek genel kur programları mesleki teknik kur programlarının işlemlerini yürütmek hayat boyu öğrenm kültürünün geliştirilmesi tanıtılması yaygınlaştırılması ilgili faaliyetler yönelik çalışmaları yürütmek takip etmek hayat boyu öğrenm faaliyetlerinin izlem değerlendirmesini yapmak hayat boyu öğrenm kapsamındaki belg denklik önceki öğrenmelerin tanınması işlemlerini yürütmek hayat boyu öğrenm kapsamındaki sosyal kültürel etkinlikl ilgili mevzuat hükümleri kapsamında ulus uluslararası kuruluşlar yapılacak faaliyetler yönelik lışmaları yürütmek açık öğretim sistemi ilgili uygulamaları yürütmek bakanlığa bağlı örgün eğitim hayat boyu öğrenm kurumlarında göç acil rumlarda yürütülen eğitim faaliyetlerinin ilgili şubel birliği lind planlanması gulanmasına yönelik çalışmaları yürütmek özel öğretim kurumları şubesi,MADDE 21,0.057,Yeni Madde
MADDE 15,özel öğretim kurumları şubesinin görevleri şunlardır özel öğretim kurumları genel müdürlüğünün görev alanına ilişkin hizmetleri rütmek özel öğretim kurumları özel barınma hizmeti veren kurumların ilgili mevzuat kümleri kapsamında kurumların açılış kapanış devir nakil diğer işlemlerini yürüt mek özel öğretim kurumları özel barınma hizmeti veren kurumlarda görev yapacak personelin atama görevden ayrılma onaylarına ilişkin işlemleri yürütmek özel öğretim kurumları özel barınma hizmeti veren kurumlarla ilgili bakanlık politika stratejilerinin uygulanmasını sağlamak azınlık okulları yabancı okullar milletlerarası okullara ilişkin işlemleri rütmek özel okulların arsa tahsisi teşvik vergi muafiyetiyl ilgili işlemlerini rütmek özel eğitim ihtiyacı olan bireylerin destek eğitim giderleriyl ilgili işlemleri yürütmek lgili mevzuat hükümleri kapsamında öngörülen idari para cezaları diğer idari yaptırımlarla ilgili işlemleri yürütmek lgili mevzuat hükümleri kapsamında özel öğretim kurumlarındaki sınav ücret bur seviy tamamlama belgesi kur bitirm belgesi sertifika diploma disiplin destek ödemesi benzeri işlemleri yürütmek nisan 2025 sayı 32882 resm gazet sayfa sosyal etkinlik merkezleri belediyelerl birliği protokolü kapsamında açılan kurslar 2012 tarihli 28239 sayılı resm gazet yayımlanan mill eğitim bakan lığı özel öğretim kurumları yönetmeliğinin inci maddesinin sekizinci fıkrası kapsamında danışmanlık sınav hizmeti sunmak isteyen gerçek tüzel kişilerl ilgili işlemleri yürütmek özel öğretim kurumlarını özel barınma hizmeti veren kurumları denetlemek nuçları raporlamak değerlendirmek özel öğretim kurumlarında öğretim materyallerinin kullanımıyla ilgili süreçleri izl mek değerlendirmek lgili mevzuat hükümleri kapsamında yürütülen özel eğitim özel öğretim süreçl rini izlemek değerlendirmek raporlamak lgili mevzuat hükümleri kapsamında faaliyet gösteren özel eğitim rehabilitasyon merkezlerinin işlemlerini yürütmek yenilik eğitim teknolojileri hizmetleri şubesi,MADDE 21,0.243,Yeni Madde
MADDE 16,yenilik eğitim teknolojileri hizmetleri şubesinin görevleri şunlar dır yeği tek görev alanına ilişkin hizmetleri yürütmek okul kurumlarda altyapısı internet erişimi bilişim donanımına yönelik keşif kontrol muayen kabul işlemleri yapmak eğitim teknolojileri ilgili olarak okulların kurumların envant kayıtlarını tut mak kayıtları güncellemek ihtiyaçlarını belirlemek htiyaç duyulan elektronik eğitim içeriklerinin geliştirilmesi yönetilmesin yönelik işlemleri koordin etmek okullarda bilinçli güvenli internet hizmetleri ilgili işlemleri yürütmek eğitimd teknoloji kullanımı yenilikçi uygulamalara yönelik ulus uluslararası proje çalışmalarını takip etmek yeği tek uhdesindeki ulus uluslararası faaliyetlerl ilgili teknik destek sağla mak tanıtım bilgilendirm görünürlük faaliyetlerini yürütmek eğitim teknolojileri dijit becerilerin geliştirilmesin yönelik faaliyetleri planla mak düzenlemek llerd kurulan öğrenm laboratuvarlarını yenilikçi sınıfları stüdyo atöly alanların koordinasyonunu etkin kullanılmasını sağlamak yenilik eğitim teknolojileri hizmetleri şubesi ihtiyaca göre öğretmen mühendi programcı çözümleyici teknisyen teknik bilgisayar işletmeni veri hazırlama kontrol letmeni memur ünvanlarında görev yapacak personelden oluşur yeği tek tarafından rütülen işlemleri yerin getirmek amacıyla yeği tek yöneticisi yeği tek bilişim koordinatörü yeği tek proje koordinatörü görevlendirilir mesleki gelişim şubesi,MADDE 10,0.029,Yeni Madde
MADDE 17,mesleki gelişim şubesinin görevleri şunlardır mill eğitim akademisi başkanlığının görev alanına ilişkin hizmetleri yürütmek bakanlık personelinin mesleki gelişimlerin yönelik yıllık mahal faaliyet planını üst politika belgeleri talepl kurums ihtiyaçlar doğrultusunda hazırlamak uygulamak sonuçlarını değerlendirmek mill eğitim akademisi başkanlığı tarafından düzenlenecek merkez mesleki gelişim faaliyetlerin ilişkin işlemlerinin yürütülmesini sağlamak eğitim programı bulunmayan ihtiyaç duyulan mesleki gelişim faaliyetlerin nelik talepleri mill eğitim akademisi başkanlığına göndermek sayfa resm gazet nisan 2025 sayı 32882 mahal mesleki gelişim faaliyetlerin yönelik gerçek tüzel kişilerl birliği yap mak mahal olarak düzenlenecek mesleki gelişim faaliyetlerin yönelik eğitim ortamı araç gereçl basılı dijit içerik hazırlamak öğretmenlerin mesleki çalışma dönemi işlemlerini yürütmek ilgili biriml şubelerl koordin etmek öğretmen yetiştiren yükseköğretim kurumlarında öğrenim gören öğrencil mill eğitim akademisi başkanlığında öğretmenlik mesleğin hazırlık eğitimin alınan öğretmen adaylarının eğitim kurumlarındaki uygulama derslerin ilişkin işlemlerinin yürütülmesini sağlamak personelin ilgili mevzuat hükümleri kapsamında ulus uluslararası düzeydeki bilimsel sosyal kültürel faaliyetler katılım taleplerin yönelik işlemleri yürütmek öğretmenin sınıf içi etkinlikleri öğretim faaliyetlerinin izlenmesi değerlendiril mesi geliştirilmesi kapsamında okul müdürlüğünce hazırlanarak mebbi yüklenen okul temelli mesleki gelişim planlarının uygulama süreçlerini izlemek ölçme değerlendirm sınav hizmetleri şubesi,MADDE 3,0.056,Yeni Madde
MADDE 18,ölçme değerlendirm sınav hizmetleri şubesinin görevleri şun lardır ölçme değerlendirm sınav hizmetleri genel müdürlüğünün görev alanına iliş kin hizmetleri yürütmek ölçme değerlendirm işlemlerini yürütmek sınavların uygulanmasıyla ilgili organizasyonu yapmak sınav güvenliğini sağla mak sınav komisyonunun sekretarya hizmetlerini yürütmek yükseköğretim yurt dışı eğitim hizmetleri şubesi,MADDE 10,0.059,Yeni Madde
MADDE 19,yükseköğretim yurt dışı eğitim hizmetleri şubesinin görevleri şun lardır yükseköğretim yurt dışı eğitim genel müdürlüğünün görev alanına ilişkin hiz metleri yürütmek yurt dışında öğrenim görüp yurda dönen öğrencilerin eğitim sistemim uyum sağ lamalarına yönelik çalışmalar yapmak 1929 tarihli 1416 sayılı ecnebi memleketler gönderilecek taleb hakkında kanun kapsamında yürütülen yurt dışına lisansüstü öğrenim görmek üzere gönderilecek öğrencileri seçm yerleştirm ylsi bur programının tanıtım faaliyetleri ilgili işlemleri yürütmek personel hizmetleri şubesi,MADDE 1,0.037,Yeni Madde
MADDE 20,personel hizmetleri şubesinin görevleri şunlardır personel genel müdürlüğünün görev alanına ilişkin hizmetleri yürütmek norm kadro işlemlerini yürütmek özlük dosyalarının muhafazasını sağlamak özlük emeklilik işlemlerini yürütmek disiplin ödül konusunda ilgili mevzuat hükümleri kapsamında uhdelerin verilen görevleri yapmak güvenlik soruşturması arşiv araştırması işlemlerini yürütmek öğretmen adaylarının başvurularına ilişkin işlemleri yürütmek kariy basamaklarına yönelik işlemleri yürütmek nisan 2025 sayı 32882 resm gazet sayfa devlet memurluğuna atananların adaylık sürecin ilişkin işlemleri rütmek yöneticilerin öğretmenlerin diğer personelin atama yer değiştirm askerlik alan değişikliği benzeri işlemlerini yapmak pasaport yurt dışı işlemlerini yürütmek 2001 tarihli 4688 sayılı kamu görevlileri sendikaları toplu sözleşm kanunu ilgili mevzuat hükümleri kapsamında uhdelerin verilen görevleri yürütmek soruşturma incelem raporlarına ilişkin işlemleri yürütmek disiplin kurulunda görüşülecek dosyalara ilişkin işlemleri yapmak adli idari makamlardan gelen incelem işlemlerini yürütmek destek hizmetleri şubesi,MADDE 10,0.085,Yeni Madde
MADDE 21,destek hizmetleri şubesinin görevleri şunlardır destek hizmetleri genel müdürlüğünün görev alanına ilişkin hizmetleri yürütmek yayın faaliyetlerini yürütmek der kitapları kaynak yardımcı eğitim dokümanları der araç gereçleri natıma ilişkin işlemleri yürütmek taşınır taşınmazlara ilişkin işlemleri yürütmek depo işlemlerini yürütmek lojmanlar ilgili işlemleri yürütmek yemekhan işlemlerini yürütmek öğretmenevleri sosyal tesislerl ilgili işlemleri yürütmek döner sermay işlemlerini yürütmek temizlik güvenlik ısınma aydınlatma onarım taşıma işlemleri yürütmek satın alma işlemlerini yürütmek genel evrak arşiv hizmetlerini yürütmek mülkiyeti haziney ait olup bakanlığa tahsi edilmiş taşınmazlar taşınmazlar üzerind yer alan yerlerin kiralanmasına yönelik işlemleri yürütmek öğrenci taşıma uygulaması kapsamındaki öğrencilerin eğitim erişimlerin yönelik işlemleri ilgili mevzuat hükümleri kapsamında yürütmek yurt dışında görevli öğretmenlerin tedavi giderlerin ilişkin işlemleri yürütmek katı sıvı yakıtla ısınan okul kurumların yakıt ihtiyaçlarının karşılanmasına nelik işlemleri yürütmek mill eğitim müdürlükleri envanterin kayıtlı hizmet araçlarına ait işlemleri rütmek okul kütüphanelerinin geliştirilmesi zenginleştirilmesin yönelik işlemleri yürütmek eğitim müzelerinin kuruluş işleyiş müze eserlerinin arşivlenmesin ilişkin işlemleri yürütmek okul servi araçlarına ilişkin işlemleri ilgili mevzuat hükümleri kapsamında yürütmek nşaat emlak hizmetleri şubesi,MADDE 1,0.029,Yeni Madde
MADDE 22,nşaat emlak hizmetleri şubesinin görevleri şunlardır nşaat emlak genel müdürlüğünün görev alanına ilişkin hizmetleri yürütmek yatırım planında yer alan eğitim tesisi olarak kullanılacak taşınmazların mülkiyet imar tahsi sorunlarının çözülmesin ilişkin işlemleri yürütmek hazır getirmek yatırım teklifini sunmak yapım programları ilgili işlemleri yürütmek sayfa resm gazet nisan 2025 sayı 32882 eğitim kurumu bina eklentileri derslik ihtiyaçlarını tespit etmek onaylanan yapım programlarının programların uygulanmasına ilişkin lemleri yürütmek halk katkısı yapılacak eğitim yapılarına ilişkin işlemleri yürütmek lgili yıl yatırım programında yer alan inşaat projelerinin ihal öncesi hazırlıklarına ilişkin işlemleri yürütmek hale edilen yatırımları izlemek planlanan süre içind hizmet sunulmalarını sağla mak binaların bakım onarım enerji verimliliği çalışmaları tadilatlarıyla ilgili lemleri yürütmek takip etmek yapılan ihaleler ait projelerin ödeneğ esa dosyalarının hazırlanmasına ilişkin işlemleri yürütmek projeler göre idari teknik ihal şartnamelerinin hazırlanmasına ilişkin lemleri yürütmek lgili mevzuat hükümleri kapsamında hak edişler ilişkin işlemleri yürütmek eğitim kurumlarının toplu konut daresi başkanlığı inşaat işleri ilgili diğer kamu kurum kuruluşlarına yaptırılmasına ilişkin işlemleri yürütmek yapıların mimari mühendislik projelerinin yapılmasına ilişkin işlemleri rütmek zorunlu llerd hazırlatılan eğitim yapılarının özel projelerini incelemek bakan lıktan görüş almak bakanlık hizmetlerind ihtiyaç duyulan taşınmazların kiralanmasına ilişkin lemleri ilgili mevzuat hükümleri kapsamında yürütmek kamu kurum kuruluşlarına tahsisli taşınmazların tahsisi devri işlemlerin ilişkin işlemleri ilgili mevzuat hükümleri kapsamında yürütmek eğitim kurumlarının kamu özel ortaklığı modeliyl yapımına ilişkin işlemleri ilgili mevzuat hükümleri kapsamında yürütmek bakanlık tarafından yapımına karar verilen eğitim öğretim tesislerinin belirli süre bedel üzerinden kiralama karşılığı yaptırılmasıyla ilgili işlemler ilişkin işlemleri ilgili mevzuat hükümleri kapsamında yürütmek eğitim kurumlarındaki eğitim öğretim hizmet alanları dışındaki hizmet alanların işletm devri karşılığında eğitim öğretim tesislerinin sözleşm gerçek özel hukuk tüzel kişilerin yenilettirilmesi yeniden yaptırılmasına ilişkin işlemleri ilgili mevzuat kümleri kapsamında yürütmek eğitim kurumlarının deprem karşı tahkiklerini yapmak yaptırmak güçlendiril cek eğitim kurumlarını tespit etmek bakanlığa bildirmek afet zorunlu llerd yaptırılabilecek taşınabilir okulların yaptırılmasına ilişkin işlemleri yürütmek bakanlığa gerektiğind kamulaştırma teklifi sunmak yatırımlarla ilgili ihtiyaç analizlerini yapmak verileri hazırlamak coğrafi veri bilginin ilç teşkilatı düzeyind üretimi kalitesin yönelik politikalar belirleyip uygulanması yönünde tedbirl almak yatırımların yatırım takip sistemi yt veri girişlerini yapmak verilerin güncelliğini sağlamak nşaat emlak hizmetleri şubelerind mebcb üzerindeki problem çözme reh berlik danışmanlık işleri yürütmek üzere mebcb yöneticisi görevlendirilir nisan 2025 sayı 32882 resm gazet sayfa denklik belg doğrulama şubesi,MADDE 21,0.066,Yeni Madde
MADDE 23,denklik belg doğrulama şubesinin görevleri şunlardır denklik merkezi bulunan mill eğitim müdürlüklerind denklik belg doğrulama işlemlerini ilgili mevzuat hükümleri kapsamında yürütmek denklik modülü üzerinden yapılan duyuruların takibi uygulanmasını sağlamak seviy tespit sınavının ilgili mevzuatta belirlenen esaslara göre yapılmasını sağ lamak türkiy cumhuriyeti vatandaşları yabancı uyruklular bakanlığa bağlı eğitim kurumları tarafından düzenlenen diploma transkript benzeri öğrenim belgelerinin teyit işlemlerini yürütmek strateji geliştirm hizmetleri şubesi,MADDE 10,0.027,Yeni Madde
MADDE 24,strateji geliştirm hizmetleri şubesinin görevleri şunlardır strateji geliştirm başkanlığının görev alanına ilişkin hizmetlerden bütçe tahak kuk hizmetleri dışındaki hizmetleri yürütmek üst politika belgeleri bakanlığın stratejik planı diğer strateji belgeleri eylem planları çerçevesind yürütülecek çalışmaları koordin etmek mill eğitim müdürlüğü okul kurumların stratejik planlarının hazırlanmasını uygulanmasını izlenmesini değerlendirilmesini sağlamak faaliyet raporu takvimin ilişkin ilgili işlemleri yürütmek faaliyetlerin üst politika belgeleri stratejik plan bütçe performan programına uygunluğunu sağlamak hizmetlerin etkililiği vatandaş çalışan memnuniyetin ilişkin çalışmalar yap mak statistiki verileri ilgili birimlerl birliği içind ulus uluslararası standartlara uygun eksiksiz toplamak güncelleştirmek analiz etmek vatandaş odaklı yönetimin oluşturulması idarenin geliştirilmesi yönetim kalitesinin artırılması yönetim bilgi sistemlerinin geliştirilmesi hizmet standartlarının belirlenmesi karar süreçlerinin oluşturulması bürokrasi kırtasiyeciliğin azaltılmasına ilişkin araştırma geliştirm faaliyetleri yürütmek eğitim ilişkin araştırma geliştirm performan kalit geliştirm faaliyetleri rütmek kalit güvenc sistemlerinin uygulanmasına ilişkin işlemlerin yürütülmesini sağlamak eğitim ilişkin projel hazırlamak uygulamak mill eğitim müdürlükleri eğitim kurumlarının proje hazırlama yürütme kapasi tesini geliştirici çalışmalar yapmak okul kurumlarda üniversitelerin kamu kurum kuruluşlarının sivil toplum ruluşlarının araştırmacıların yapacakları ulus uluslararası araştırma uygulamaları veri toplama faaliyetlerinin izin talepleri ilgili işlemleri yürütmek kontrol sisteminin kurulması standartlarının uygulanması geliştirilmesi konu larında çalışmalar yapmak mill eğitim müdürlüğünün görev alanına ilişkin konularda stan dartlar hazırlamak türkiy büyük millet meclisi başkanlığından bakanlığa gönderilen yazılı sözlü soru önergeleri işlemlerini koordin etmek cevaplarını hazırlayarak bakanlığa gön dermek avrupa birliği dış lişkil genel müdürlüğünün görev alanı ilgili verilen revleri yerin getirmek sayfa resm gazet nisan 2025 sayı 32882 mill eğitim müdürlüklerind strateji geliştirm hizmetleri şubesin bağlı olarak birimi oluşturulur biriminin çalışma usul esasları personelin görev yetki sorumlulukları bakanlıkça belirlenir bütçe tahakkuk hizmetleri şubesi,MADDE 1,0.048,Yeni Madde
MADDE 25,bütçe tahakkuk hizmetleri şubesinin görevleri şunlardır strateji geliştirm başkanlığının görev alanına ilişkin hizmetlerden bütçe tahak kuk hizmetlerini yürütmek bütçe ilgili işlemleri yürütmek ilç mill eğitim müdürlükleri okul kurumların talep ettikleri ödenekleri ihtiyaç tutar zaman bakımından kontrol etmek ilgili biriminden temin etmek öde neklerin kullanılmasına ilişkin izlem raporlama işlemlerini yürütmek personel ödemelerin ilişkin çalışmaları yürütmek lgili mevzuat hükümleri kapsamında mal hizmet alımları yapım işlerin ilişkin satın alma süreci tamamlanmış muayen kontrolleri yapılmış ödeme aşamasına gelmiş türlü alımların tahakkukunun yapılarak ilgili hak sahibin ödenmesini sağlamak ilç mill eğitim müdürlükleri okul kurumların kur sınav benzeri özel gelirlerinin kayıtlarını tutmak yapılacak ödemeleri gerçekleştirmek kamu zararı ilgili işlemleri yürütmek performan programıyla ilgili işlemleri yürütmek ulus uluslararası projelerin finans mali yönetimini izlemek raporlamak okul ail birlikleri ilgili işlemleri yürütmek tasarruf tedbirleri ilgili çalışmaları koordin etmek mahkem ilam harcı tazminat icra avukatlık vek let ücretlerinin kontrolünü yapmak hak sahibin ödenmesini sağlamak basın halkla ilişkil hizmetleri şubesi,MADDE 10,0.04,Yeni Madde
MADDE 26,basın halkla ilişkil hizmetleri şubesinin görevleri şunlardır basın halkla lişkil müşavirliğinin görev alanına ilişkin hizmetleri yürütmek mill eğitim müdürlüğünün basın halkla ilişkilerl ilgili faaliyetlerini planlamak yürütmek 2003 tarihli 4982 sayılı bilgi edinm hakkı kanununa göre yapılacak bilgi edinm başvurularını 1984 tarihli 3071 sayılı dilekç hakkının kullanılmasına dair kanun kapsamında yapılan istek görüş öneri ihbar şik yet başvurularını etkin süratli doğru bir şekild sonuçlandırmak mill eğitim müdürlüğüne gelen başvuruları yasal işlem süresi içind cevaplamak başvurunun alınmasını müteakip gecikmeksizin gerekli incelem araştırmayı yap mak başvuruyu yerindelik mevzuata uygunluk birlikt bütün unsurları bakımından ğerlendirerek cevaplandırmak bilgi edinm dilekç hakkının kullanılması kapsamında yapılan başvuruları etkin süratli doğru bir şekild sonuçlandırmak mill eğitim müdürlüğünün görev hizmet alanına giren konularda temel nitelikt olan kararlara ilgili mevzuat hükümleri kapsamında mal hizmet alımlarına yürütülen projeler ilişkin belgelerin yıllık faaliyet raporlarının örneklerini bulundurmak belgelerin asıllarının hangi birimd bulunduğunu ihtiva eden do planlarını hazırlamak mill eğitim müdürlüğüne bağlı okul kurumlarda konusu suç teşkil eden eyleml yangın sel benzeri acil konularda gelen ihbarlarda hızlı iletişim kurulabilmesi ilgili yöneticilerin dijit ortamda yer alan iletişim bilgilerini güncel tutmak iletişim araçla rının erişilebilirliğin dikkat edilmesi hususunda gerekli bilgilendirmeyi yapmak nisan 2025 sayı 32882 resm gazet sayfa mill eğitim müdürlüğünün medya iletişimi medya takip süreçlerini etkin rimli kullanmasını sağlamak mill eğitim müdürlüğünün faaliyetlerini takip etmek video fotoğraflarını çekmek arşivlemek mill eğitim müdürlüğünün sosyal medya hesaplarını basın halkla lişkil şavirliğinc belirlenecek usul esaslara göre yönetmek mill eğitim müdürlüğüne ilişkin medyada yer alan haberleri takip etmek mill eğitim müdürlüğünün basına açık faaliyetlerini iletişim araç yöntemleriyl duyurmak medya planlamasını yapmak medyada yer alan haberlerden önem önceliği bulunanlara ilişkin olarak hazırla nacak bilgi notunu bakanlıkça belirlenen forma uygun şekild hazırlayıp mill eğitim müdü rüne sunmak basın halkla lişkil müşavirliğin ulaştırmak mill eğitim müdürlüğünün internet sayfasındaki sıkça sorulan sorular sekmesini netmek güncelliğini sağlamak hukuk hizmetleri birimi,MADDE 1,0.059,Yeni Madde
